time,class,confidence,bbox
2025-08-24 01:11:34,person,0.2966485023498535,"[0.3540992736816406, 127.12353515625, 79.76264953613281, 326.3734130859375]"
2025-08-24 01:11:34,person,0.7947983741760254,"[564.81982421875, 117.28494262695312, 594.3232421875, 218.81478881835938]"
2025-08-24 01:11:34,person,0.7688942551612854,"[540.9859619140625, 102.32581329345703, 572.0247802734375, 241.04583740234375]"
2025-08-24 01:11:34,person,0.7217785120010376,"[369.3029479980469, 163.105712890625, 394.9533996582031, 215.63201904296875]"
2025-08-24 01:11:34,person,0.6888275742530823,"[478.2346496582031, 115.86212158203125, 511.6623840332031, 239.05545043945312]"
2025-08-24 01:11:34,handbag,0.4150516092777252,"[33.84738540649414, 266.068359375, 105.46528625488281, 324.99041748046875]"
2025-08-24 01:11:34,person,0.3470320403575897,"[0.0, 140.36167907714844, 47.51079559326172, 317.59307861328125]"
2025-08-24 01:11:34,person,0.8161686658859253,"[564.3583984375, 116.89485168457031, 594.9981689453125, 220.1690216064453]"
2025-08-24 01:11:34,person,0.7708371877670288,"[541.0043334960938, 102.41549682617188, 571.2020874023438, 240.6903076171875]"
2025-08-24 01:11:34,person,0.7010335326194763,"[478.1531066894531, 115.65599060058594, 512.4296264648438, 239.20323181152344]"
2025-08-24 01:11:34,person,0.6892152428627014,"[367.1137390136719, 163.6154022216797, 394.2958068847656, 215.6812286376953]"
2025-08-24 01:11:34,handbag,0.4111674726009369,"[33.95845031738281, 267.3941650390625, 105.39749145507812, 324.94683837890625]"
2025-08-24 01:11:34,person,0.3426167368888855,"[0.0, 146.24929809570312, 45.49634552001953, 316.25946044921875]"
2025-08-24 01:11:34,person,0.8148763179779053,"[565.7994384765625, 117.241943359375, 595.141845703125, 222.42935180664062]"
2025-08-24 01:11:34,person,0.7737394571304321,"[540.8670654296875, 102.46678161621094, 571.2677001953125, 240.85292053222656]"
2025-08-24 01:11:34,person,0.712165892124176,"[478.01470947265625, 115.51858520507812, 513.17236328125, 239.17453002929688]"
2025-08-24 01:11:34,person,0.6092360019683838,"[367.45880126953125, 163.43116760253906, 391.88287353515625, 216.29063415527344]"
2025-08-24 01:11:34,handbag,0.423368901014328,"[33.74807357788086, 266.4676818847656, 105.39938354492188, 324.9665222167969]"
2025-08-24 01:11:34,person,0.3414086699485779,"[0.0, 152.01181030273438, 44.869354248046875, 315.9312438964844]"
2025-08-24 01:11:35,person,0.8009846806526184,"[565.3338623046875, 116.94331359863281, 594.8538818359375, 220.7951202392578]"
2025-08-24 01:11:35,person,0.7786522507667542,"[540.9876708984375, 102.54402160644531, 570.8868408203125, 241.49256896972656]"
2025-08-24 01:11:35,person,0.7170908451080322,"[477.90020751953125, 115.61166381835938, 513.1617431640625, 239.08453369140625]"
2025-08-24 01:11:35,handbag,0.43736881017684937,"[33.99032211303711, 264.06329345703125, 105.45533752441406, 324.82196044921875]"
2025-08-24 01:11:35,person,0.3625992238521576,"[0.0, 156.2066650390625, 44.85327911376953, 315.9016418457031]"
2025-08-24 01:11:35,person,0.27739930152893066,"[366.20538330078125, 164.98678588867188, 389.99798583984375, 215.82260131835938]"
2025-08-24 01:11:35,person,0.779621422290802,"[564.4918823242188, 116.33848571777344, 595.3571166992188, 219.6824493408203]"
2025-08-24 01:11:35,person,0.7680280208587646,"[540.8978881835938, 103.07623291015625, 570.1586303710938, 241.40521240234375]"
2025-08-24 01:11:35,person,0.7301662564277649,"[477.86395263671875, 115.30220031738281, 513.3069458007812, 239.4162139892578]"
2025-08-24 01:11:35,person,0.44676223397254944,"[0.17338180541992188, 196.05006408691406, 42.73643112182617, 315.70159912109375]"
2025-08-24 01:11:35,handbag,0.4419019818305969,"[33.763221740722656, 265.11370849609375, 105.40596771240234, 324.879638671875]"
2025-08-24 01:11:35,person,0.3316764831542969,"[367.1903381347656, 164.44924926757812, 387.8210144042969, 216.11016845703125]"
2025-08-24 01:11:35,person,0.77467942237854,"[563.4625244140625, 116.4560546875, 595.5113525390625, 219.36474609375]"
2025-08-24 01:11:35,person,0.7583116888999939,"[477.97076416015625, 114.37471008300781, 514.8636474609375, 240.52635192871094]"
2025-08-24 01:11:35,person,0.7442365884780884,"[540.727783203125, 103.4434814453125, 569.4644775390625, 240.650146484375]"
2025-08-24 01:11:35,handbag,0.4359339773654938,"[33.69955825805664, 264.0707702636719, 105.42826843261719, 324.8263854980469]"
2025-08-24 01:11:35,person,0.41815632581710815,"[0.1904315948486328, 195.3447723388672, 42.63471221923828, 316.53515625]"
2025-08-24 01:11:35,person,0.2899089455604553,"[363.2323303222656, 163.56033325195312, 386.6668395996094, 216.35614013671875]"
2025-08-24 01:11:35,person,0.7613514065742493,"[540.749755859375, 102.62385559082031, 570.211181640625, 241.7328643798828]"
2025-08-24 01:11:35,person,0.7587775588035583,"[477.8500671386719, 114.29901885986328, 514.9080810546875, 240.62820434570312]"
2025-08-24 01:11:35,person,0.7573601603507996,"[564.1200561523438, 116.40707397460938, 595.5371704101562, 219.21841430664062]"
2025-08-24 01:11:35,handbag,0.4364911615848541,"[33.65766906738281, 262.78582763671875, 105.39027404785156, 324.8756103515625]"
2025-08-24 01:11:35,person,0.4134698510169983,"[0.190399169921875, 195.25025939941406, 42.5723876953125, 317.2940673828125]"
2025-08-24 01:11:35,person,0.3397738039493561,"[362.241455078125, 162.00662231445312, 385.77764892578125, 215.53497314453125]"
2025-08-24 01:11:35,person,0.7895227670669556,"[478.01251220703125, 113.21182250976562, 515.8648071289062, 240.46029663085938]"
2025-08-24 01:11:35,person,0.7624515891075134,"[540.7897338867188, 102.53565216064453, 571.6802368164062, 240.74569702148438]"
2025-08-24 01:11:35,person,0.6099684238433838,"[564.5073852539062, 114.99740600585938, 596.4613647460938, 220.08609008789062]"
2025-08-24 01:11:35,person,0.4613095223903656,"[0.22464752197265625, 196.3874053955078, 43.91357421875, 315.7213439941406]"
2025-08-24 01:11:35,handbag,0.422526091337204,"[33.4498176574707, 264.0113830566406, 105.38690185546875, 325.1097717285156]"
